item,Times_Higher_Education_World_University_ID,GRID_ID
http://www.wikidata.org/entity/Q1057199,hokkaido-university,grid.39158.36
http://www.wikidata.org/entity/Q1079140,indiana-university,grid.411377.7
http://www.wikidata.org/entity/Q1111640,colorado-state-university,grid.47894.36
http://www.wikidata.org/entity/Q1136919,iowa-state-university,grid.34421.30
http://www.wikidata.org/entity/Q1144549,pierre-and-marie-curie-university,grid.5805.8
http://www.wikidata.org/entity/Q1145992,universitas-gadjah-mada,grid.8570.a
http://www.wikidata.org/entity/Q1149393,kansai-university,grid.412013.5
http://www.wikidata.org/entity/Q1180978,deakin-university,grid.1021.2
http://www.wikidata.org/entity/Q1191132,nagoya-university,grid.27476.30
http://www.wikidata.org/entity/Q1218488,university-almeria,grid.28020.38
http://www.wikidata.org/entity/Q1235608,paris-diderot-university-paris-7,grid.7452.4
http://www.wikidata.org/entity/Q1269766,technical-university-denmark,grid.5170.3
http://www.wikidata.org/entity/Q1277357,edinburgh-napier-university,grid.20409.3f
http://www.wikidata.org/entity/Q1411222,george-mason-university,grid.22448.38
http://www.wikidata.org/entity/Q1420500,swansea-university,grid.4827.9
http://www.wikidata.org/entity/Q1424081,marmara-university,grid.16477.33
http://www.wikidata.org/entity/Q1523902,alexandru-ioan-cuza-university,grid.8168.7
